Start,End,Quality,TimeInBed,WakeUp,SleepNotes,HeartRate
2/2/16 21:47,2/3/16 5:20,72%,7:33,,Drank coffee:Worked out,
2/3/16 22:54,2/4/16 6:20,79%,7:26,,Drank coffee:Worked out,
2/4/16 22:17,2/5/16 6:53,74%,8:35,,Drank coffee:Stressful day:Worked out,
2/5/16 23:45,2/6/16 7:35,84%,7:50,,Drank coffee,
2/6/16 22:55,2/7/16 7:35,91%,8:40,,Drank tea,
2/8/16 0:44,2/8/16 7:45,68%,7:01,,Drank coffee:Drank tea,
2/8/16 22:43,2/9/16 6:40,77%,7:56,,Drank coffee:Drank tea:Worked out,
2/9/16 21:57,2/10/16 5:31,66%,7:33,,Drank coffee:Worked out,
2/13/16 23:41,2/14/16 5:11,38%,5:30,,Drank coffee,
2/14/16 22:07,2/15/16 5:53,84%,7:45,,Drank coffee:Stressful day,
2/15/16 22:07,2/16/16 5:25,76%,7:18,,Drank coffee:Worked out,
2/16/16 22:20,2/17/16 5:32,70%,7:12,,Drank coffee:Worked out,
2/17/16 21:33,2/18/16 6:24,90%,8:51,,Drank coffee:Stressful day:Worked out,
2/18/16 22:47,2/19/16 6:26,77%,7:39,,Drank coffee:Drank tea:Worked out,
2/20/16 23:12,2/21/16 7:41,69%,8:28,,Drank coffee,
2/22/16 22:04,2/23/16 6:23,85%,8:19,,Drank coffee,
2/23/16 22:18,2/24/16 6:25,94%,8:06,,Drank coffee:Worked out,
2/24/16 21:59,2/25/16 5:43,88%,7:44,,Drank tea:Worked out,
2/26/16 0:15,2/26/16 6:35,68%,6:20,,Drank tea:Worked out,
2/27/16 23:33,2/28/16 7:50,92%,8:17,,Drank coffee,
2/28/16 22:19,2/29/16 5:45,64%,7:25,,Drank tea,
2/29/16 21:55,3/1/16 6:22,78%,8:26,,Drank tea:Worked out,
3/1/16 23:22,3/2/16 5:50,70%,6:28,,Drank tea:Worked out,
3/2/16 22:15,3/3/16 6:21,95%,8:06,,Drank coffee:Drank tea:Worked out,
3/3/16 22:01,3/4/16 6:17,90%,8:16,,Drank tea:Worked out,
